artifact	sha256	status
xslim-2.1.2+riscy.1-py3-none-any.whl	635441d26458c6754627dd9595132cfd9a16d762d3ed0252f0039be668c01784	accepted_immutable_not_published
xslim-2.1.2+riscy.1.tar.gz	9db75789d1f89f2558c6a10a3a41548724dac0a97cd34d3a8a52c251b50662fa	accepted_immutable_not_published
xslim-2.1.2+riscy.1-source.tar.gz	ddec1d9935e38b3e6f63ffdc202db13749dda730c93071c25192478ae88771ab	accepted_immutable_not_published
SBOM.spdx.json	9f84b045308562da97c6e3a611000ac3e08c8d59564945eb6f36e2e4b7b95c41	accepted_immutable_not_published
constraints-py312.txt	66be1756ddeb07908f7659b2a176f8d21d736bf1687842a2b57b2d273e23689a	accepted_immutable_not_published
dependency-lock-py312.txt	66be1756ddeb07908f7659b2a176f8d21d736bf1687842a2b57b2d273e23689a	accepted_immutable_not_published
wheelhouse-manifest-py312.tsv	bb22fc426dad5fe3ec3abecf23fab26cd58967e7bfd62bc3162ed86435cfa54e	accepted_immutable_not_published
release-manifest.json	not_created	blocked_before_gate_8
SHA256SUMS	not_created	blocked_before_gate_8
SHA512SUMS	not_created	blocked_before_gate_8
